date,store_id,cat_id,sales,sell_price,SuperBowl,Halloween
2011-01-29,CA_1,FOODS,441,233.20999999999992,No,0
2011-01-29,CA_1,HOBBIES,35,77.91999999999999,No,0
2011-01-29,CA_1,HOUSEHOLD,33,217.52999999999997,No,0
2011-01-29,CA_2,FOODS,254,156.15999999999997,No,0
2011-01-29,CA_2,HOBBIES,25,85.36000000000001,No,0
2011-01-29,CA_2,HOUSEHOLD,67,249.71999999999997,No,0
2011-01-30,CA_1,FOODS,510,233.20999999999992,No,0
2011-01-30,CA_1,HOBBIES,20,77.91999999999999,No,0
2011-01-30,CA_1,HOUSEHOLD,41,217.52999999999997,No,0
2011-01-30,CA_2,FOODS,277,156.15999999999997,No,0
2011-01-30,CA_2,HOBBIES,10,85.36000000000001,No,0
2011-01-30,CA_2,HOUSEHOLD,74,249.71999999999997,No,0
2011-01-31,CA_1,FOODS,321,233.20999999999992,No,0
2011-01-31,CA_1,HOBBIES,17,77.91999999999999,No,0
2011-01-31,CA_1,HOUSEHOLD,36,217.52999999999997,No,0
2011-01-31,CA_2,FOODS,160,156.15999999999997,No,0
2011-01-31,CA_2,HOBBIES,7,85.36000000000001,No,0
2011-01-31,CA_2,HOUSEHOLD,52,249.71999999999997,No,0
2011-02-01,CA_1,FOODS,395,233.20999999999992,No,0
2011-02-01,CA_1,HOBBIES,21,77.91999999999999,No,0
2011-02-01,CA_1,HOUSEHOLD,33,217.52999999999997,No,0
2011-02-01,CA_2,FOODS,287,156.15999999999997,No,0
2011-02-01,CA_2,HOBBIES,41,85.36000000000001,No,0
2011-02-01,CA_2,HOUSEHOLD,48,249.71999999999997,No,0
2011-02-02,CA_1,FOODS,268,233.20999999999992,No,0
2011-02-02,CA_1,HOBBIES,10,77.91999999999999,No,0
2011-02-02,CA_1,HOUSEHOLD,20,217.52999999999997,No,0
2011-02-02,CA_2,FOODS,181,156.15999999999997,No,0
2011-02-02,CA_2,HOBBIES,18,85.36000000000001,No,0
2011-02-02,CA_2,HOUSEHOLD,41,249.71999999999997,No,0
2011-02-03,CA_1,FOODS,361,233.20999999999992,No,0
2011-02-03,CA_1,HOBBIES,27,77.91999999999999,No,0
